ISSN -L	Wiki-ID	Label (titre)	ISSN ref titre	Code ISO de langue	ISSN ref langue	ISO pays	ISSN ref pays	URLs	ISSN ref URLs	ISSN1	keytitle1	format1	ISSN2	keytitle2	format2	ISSN3	keytitle3	format3	ISSN4	keytitle4	format4	cancelled ISSN
0940-1997	Q1017707	Rolf Kaukas Bussi Bär	0940-1997	ger	0940-1997	DEU	0940-1997			0940-1997	 Rolf Kaukas Bussi Bär	ta										
0174-4909	Q10184	 Frankfurter Allgemeine	0174-4909	ger	0174-4909	DEU	0174-4909			0174-4909	 Frankfurter Allgemeine	ta	1431-3138	 Frankfurter Allg	co	1866-5314	 Die FAZ auf CD-ROM (2005)	cj				
0947-174X	Q10185	Berliner Zeitung	0947-174X	ger	0947-174X	DEU	0947-174X			0947-174X	 Berliner Zeitung (Berliner Verl. Ausg. FA)	ta										
0949-5045	Q10186	BZ	0949-5045	ger	0949-5045	DEU	0949-5045			0949-5045	 BZ (Berlin)	ta										
0360-5280	Q1018709	 Byte	0360-5280	eng	0360-5280	USA	0360-5280			0360-5280	 Byte	ta	1082-7838	 Byte on CD-ROM	co							
0939-5571	Q1018805	 BÄKO-Magazin	0939-5571	ger	0939-5571	DEU	0939-5571			0939-5571	 BÄKO-Magazin	ta										
1865-2263	Q10189	 Der Tagesspiegel	1865-2263	ger	1865-2263	DEU	1865-2263			1865-2263	 Der Tagesspiegel (Berlin. Zeitung. Frühausg.)	ta										
0005-383X	Q1018915	Bäcker und Konditor	0005-383X	ger	0005-383X	DEU	0005-383X			0005-383X	 Bäcker und Konditor	ta										
1437-3475	Q10190	Berliner Kurier	1437-3475	ger	1437-3475	DEU	1437-3475			1437-3475	 Berliner Kurier (Berliner Verl.)	ta										
1611-4280	Q1019995	 Börsenblatt	1611-4280	ger	1611-4280	DEU	1611-4280			1611-4280	 Börsenblatt (Frankfurt)	ta										
1860-8191	Q1020339	 Bücher	1860-8191	ger	1860-8191	DEU	1860-8191			1860-8191	 Bücher (Essen)	ta										2192-2101
1011-6885	Q1020804	 Bündner Monatsblatt	1011-6885	ger	1011-6885	CHE	1011-6885	http://retro.seals.ch/digbib/vollist?UID=bmb-001 http://retro.seals.ch/digbib/vollist?UID=bmb-002	2297-5349	1011-6885	 Bündner Monatsblatt (Print)	ta	2297-5349	 Bündner Monatsblatt (Internet)	cr							
0819-5129	Q1023859	Sydney's star observer	0819-5129	eng	0819-5129	AUS	0819-5129			0819-5129	 Sydney's star observer	ta										
1318-0207	Q1024883	Acta chimica slovenica	1318-0207	mul	1318-0207	SVN	1318-0207	http://acta.chem-soc.si	1580-3155	1318-0207	 Acta chimica slovenica (Print ed.)	ta	1580-3155	 Acta chimica slovenica (Online ed.)	cr							
0021-8561	Q1024905	 Journal of agricultural and food chemistry	0021-8561	eng	0021-8561	USA	0021-8561	http://books.google.com/books?id=9fI6AAAAMAAJ http://books.google.com/books?id=7_Q6AAAAMAAJ http://books.google.com/books?id=E_Y6AAAAMAAJ http://books.google.com/books?id=hfc6AAAAMAAJ	1520-5118	0021-8561	 Journal of agricultural and food chemistry	ta	1520-5118	 Journal of agricultural and food chemistry (Online)	cr							
0018-7194	Q1025062	 Human Events	0018-7194	eng	0018-7194	USA	0018-7194			0018-7194	 Human events (Washington)	ta										
0886-3032	Q1025912	 Spin	0886-3032	eng	0886-3032	USA	0886-3032			0886-3032	 Spin (New York, N.Y.)	ta										
1727-916X	Q10259890	Foreign trade of the Democratic People's Republic of Korea	1727-916X	eng	1727-916X	PRK	1727-916X			1727-916X	 Foreign trade of the Democratic People's Republic of Korea	ta										
1197-2823	Q1026672	 Calgary herald	1197-2823	eng	1197-2823	CAN	1197-2823			1197-2823	 Calgary herald (Overseas ed.)	ta										
0933-3738	Q1026741	 Caliber	0933-3738	ger	0933-3738	DEU	0933-3738			0933-3738	 Caliber	ta										
0870-1962	Q10267582	Diário popular	0870-1962	por	0870-1962	PRT	0870-1962			0870-1962	 Diário popular	ta										
0191-0965	Q1027421	 Yoga journal	0191-0965	eng	0191-0965	USA	0191-0965			0191-0965	 Yoga journal	ta										
1103-9221	Q10274833	 Eskilstunakuriren	1103-9221	swe	1103-9221	SWE	1103-9221			1103-9221	 Eskilstunakuriren	ta										
1519-6186	Q10274941	 Revista Espaço Acadêmico	1519-6186	por	1519-6186	BRA	1519-6186	http://www.periodicos.uem.br/ojs/index.php/EspacoAcademico/index	1519-6186	1519-6186	 Revista Espaço Acadêmico	cr										
0950-222X	Q10278937	 Eye	0950-222X	eng	0950-222X	GBR	0950-222X	http://www.nature.com/eye/	1476-5454	0950-222X	 Eye (London. 1987)	ta	1476-5454	 Eye (Basingstoke. Online)	cr							
0211-285X	Q1028152	Cambio 16	0211-285X	spa	0211-285X	ESP	0211-285X			0211-285X	 Cambio 16	ta										
0008-2074	Q1028550	 Camera	0008-2074	ger	0008-2074	DEU	0008-2074			0008-2074	 Camera (Deutsche Ausg.)	ta										0366-5259
